date,open,high,low,close,adj_close,volume
2025-08-12,24548.216190752235,24758.312670424755,24343.693956012754,24487.4,24487.4,1000000
2025-08-13,24602.330113884804,24913.848295505602,24080.07406288715,24619.35,24619.35,1000000
2025-08-14,24711.067053442595,24831.43567289138,24387.318026148085,24631.3,24631.3,1000000
2025-08-18,25066.39168793185,25214.34115378755,24736.072396955584,24876.95,24876.95,1000000
2025-08-19,24951.403482498587,24998.638596436558,24951.403482498587,24980.65,24980.65,1000000
2025-08-20,25021.22370226548,25301.94051035289,24924.426579527793,25050.55,25050.55,1000000
2025-08-21,25281.812897304917,25281.812897304917,24694.785461609947,25083.75,25083.75,1000000
2025-08-22,24965.530892287527,25030.54192809005,24853.048319602764,24870.1,24870.1,1000000
2025-08-25,24909.141404502865,25057.982351294326,24702.516664516148,24967.75,24967.75,1000000
2025-08-26,24779.08885462549,25092.13036532335,24595.015601745217,24712.05,24712.05,1000000
2025-08-28,24444.129247250858,24509.677702016288,24275.632787794613,24500.9,24500.9,1000000
2025-08-29,24369.96844584501,24809.043158840203,24048.24984778797,24426.85,24426.85,1000000
2025-09-01,24654.841665177137,25270.163541754653,24432.173485135554,24625.05,24625.05,1000000
2025-09-02,24344.461684492046,24781.62034796541,24344.461684492046,24579.6,24579.6,1000000
2025-09-03,24501.892847617743,24736.563726438595,24501.892847617743,24715.05,24715.05,1000000
2025-09-04,24664.761057827476,24808.257375086276,24429.854327380275,24734.3,24734.3,1000000
2025-09-05,24615.70772625903,24763.702533722648,24615.70772625903,24741.0,24741.0,1000000
2025-09-08,24812.074481537413,25265.533428567454,24449.329564767482,24773.15,24773.15,1000000
2025-09-09,24755.693562377463,24923.22932309876,24468.841424329905,24868.6,24868.6,1000000
2025-09-10,24796.751992180918,25062.282079596196,24796.751992180918,24973.1,24973.1,1000000
2025-09-11,25188.74640145634,25375.054795357843,24940.51500788421,25005.5,25005.5,1000000
2025-09-12,25085.649269947906,25244.158382617243,24917.653003981846,25114.0,25114.0,1000000
2025-09-15,25077.664390344817,25271.8828782965,24759.106352388553,25069.2,25069.2,1000000
2025-09-16,25059.3031902667,25365.73896198734,24905.828634967045,25239.1,25239.1,1000000
2025-09-17,25261.30324746048,25562.12364491923,25198.040896575323,25330.25,25330.25,1000000
2025-09-18,25437.70025775874,25507.180367115438,25348.095804615885,25423.6,25423.6,1000000
2025-09-19,25181.29364057473,25461.222631688182,25181.29364057473,25327.05,25327.05,1000000
2025-09-22,25249.69236476327,25331.70545492924,25115.03690967384,25202.35,25202.35,1000000
2025-09-23,25093.911122470443,25193.933933783155,24998.341177702303,25169.5,25169.5,1000000
2025-09-24,25020.355294404028,25299.612406632838,24998.704423356066,25056.9,25056.9,1000000
2025-09-25,24815.965054854947,25065.596982517367,24815.965054854947,24890.85,24890.85,1000000
2025-09-26,24883.036814778065,24883.036814778065,24478.578800939853,24654.7,24654.7,1000000
2025-09-29,24633.23748609152,24731.495451415954,24175.268314954003,24634.9,24634.9,1000000
2025-09-30,24480.942852781867,24971.287127399744,24480.942852781867,24611.1,24611.1,1000000
2025-10-01,24938.44486100234,24938.44486100234,24540.42428952426,24836.3,24836.3,1000000
2025-10-03,24742.290064833545,24959.237752094643,24730.805903282675,24894.25,24894.25,1000000
2025-10-06,25103.839040666353,25103.839040666353,24833.22274212624,25077.65,25077.65,1000000
2025-10-07,24862.280073142945,25167.20084120923,24862.280073142945,25108.3,25108.3,1000000
2025-10-08,24879.820264956914,25400.64587911006,24755.96641338844,25046.15,25046.15,1000000
2025-10-09,25206.586601347044,25287.726063888127,24975.13741995731,25181.8,25181.8,1000000
